ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,0.625,0.714,0.382,0.688,0.560,0.500
2,0.000,1.000,0.000,0.000,0.000,0.000,0.599,0.431,0.737,0.634,0.680,0.725
3,0.000,0.000,1.000,0.000,0.000,0.000,0.518,0.590,0.443,0.777,0.560,0.200
4,0.000,0.000,0.000,1.000,0.000,0.000,0.396,0.320,0.682,0.788,0.320,0.500
5,0.000,0.000,0.000,0.000,1.000,0.000,0.219,0.351,0.381,0.200,0.560,0.275
6,0.000,0.000,0.000,0.000,0.000,1.000,0.262,0.243,0.620,0.679,0.440,0.350
7,0.500,0.500,0.000,0.000,0.000,0.000,0.800,0.778,0.462,0.460,0.800,0.650
8,0.500,0.000,0.500,0.000,0.000,0.000,0.627,0.693,0.415,0.716,0.560,0.350
9,0.000,0.500,0.500,0.000,0.000,0.000,0.593,0.572,0.536,0.630,0.440,0.575
10,0.500,0.000,0.000,0.500,0.000,0.000,0.502,0.682,0.263,0.390,0.680,0.425
11,0.000,0.500,0.000,0.500,0.000,0.000,0.651,0.481,0.738,0.736,0.560,0.650
12,0.000,0.000,0.500,0.500,0.000,0.000,0.505,0.653,0.322,0.555,0.560,0.500
13,0.500,0.000,0.000,0.000,0.500,0.000,0.574,0.624,0.419,0.355,0.680,0.650
14,0.000,0.500,0.000,0.000,0.500,0.000,0.311,0.239,0.656,0.432,0.320,0.425
15,0.000,0.000,0.500,0.000,0.500,0.000,0.447,0.577,0.342,0.354,0.680,0.425
16,0.000,0.000,0.000,0.500,0.500,0.000,0.200,0.200,0.582,0.420,0.320,0.275
17,0.500,0.000,0.000,0.000,0.000,0.500,0.550,0.713,0.290,0.568,0.800,0.350
18,0.000,0.500,0.000,0.000,0.000,0.500,0.715,0.487,0.800,0.765,0.680,0.800
19,0.000,0.000,0.500,0.000,0.000,0.500,0.535,0.611,0.424,0.681,0.560,0.500
20,0.000,0.000,0.000,0.500,0.000,0.500,0.320,0.261,0.679,0.800,0.440,0.425
21,0.000,0.000,0.000,0.000,0.500,0.500,0.302,0.339,0.500,0.321,0.320,0.500
22,0.333,0.333,0.333,0.000,0.000,0.000,0.779,0.745,0.492,0.549,0.560,0.725
23,0.333,0.333,0.000,0.333,0.000,0.000,0.597,0.656,0.412,0.479,0.560,0.425
24,0.333,0.000,0.333,0.333,0.000,0.000,0.547,0.652,0.367,0.557,0.680,0.500
25,0.000,0.333,0.333,0.333,0.000,0.000,0.637,0.593,0.557,0.636,0.560,0.575
26,0.333,0.333,0.000,0.000,0.333,0.000,0.471,0.427,0.575,0.387,0.440,0.500
27,0.333,0.000,0.333,0.000,0.333,0.000,0.624,0.731,0.333,0.430,0.560,0.500
28,0.000,0.333,0.333,0.000,0.333,0.000,0.430,0.406,0.562,0.431,0.320,0.425
29,0.333,0.000,0.000,0.333,0.333,0.000,0.327,0.533,0.258,0.222,0.560,0.350
30,0.000,0.333,0.000,0.333,0.333,0.000,0.406,0.293,0.701,0.539,0.320,0.425
31,0.000,0.000,0.333,0.333,0.333,0.000,0.332,0.547,0.248,0.274,0.560,0.425
